Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
0,gwengwenn,132,851,TRUE,6.446969697,9
1,huimin_c,365,439,TRUE,1.202739726,23
2,agent_g07,26,755,TRUE,29.03846154,200
3,agnestankimpheng,84,583,FALSE,6.94047619,7
4,umareumm,3900,464,TRUE,0.118974359,87
5,starlightsglaxing,9,513,TRUE,57,39
6,shangkariselvarajah,359,376,TRUE,1.04735376,9
7,gazellemum,116,2196,TRUE,18.93103448,0
8,zima_loves_bunnies,341,1585,TRUE,4.648093842,135
9,wolf_katazyna,1481,5607,TRUE,3.785955436,614
10,_cara_tan_,280,553,TRUE,1.975,5
11,ekitty27,96,175,FALSE,1.822916667,58
12,pohjaslin,535,454,FALSE,0.848598131,777
13,bloatofhippos,218,344,FALSE,1.577981651,106
14,simplyprincessy,289,2686,TRUE,9.294117647,1946
15,inez_xb,21,70,TRUE,3.333333333,3
16,blushwax,224,2302,TRUE,10.27678571,2010
17,eileen.symrise,131,61,FALSE,0.465648855,1
18,yemafrnndz,1038,677,FALSE,0.6522158,10
19,gwengwenn,132,851,TRUE,6.446969697,9
20,huimin_c,365,439,TRUE,1.202739726,23
21,zima_loves_bunnies,341,1585,TRUE,4.648093842,135
22,wolf_katazyna,1482,5607,TRUE,3.78340081,614
23,_cara_tan_,280,553,TRUE,1.975,5
24,ekitty27,96,175,FALSE,1.822916667,58
25,pohjaslin,535,454,FALSE,0.848598131,777
26,bloatofhippos,218,344,FALSE,1.577981651,106
27,simplyprincessy,289,2686,TRUE,9.294117647,1946
28,inez_xb,21,70,TRUE,3.333333333,3
29,blushwax,224,2302,TRUE,10.27678571,2010
30,eileen.symrise,131,61,FALSE,0.465648855,1
31,yemafrnndz,1038,677,FALSE,0.6522158,10
32,unconsciousss,1249,778,TRUE,0.622898319,661
33,_cassandra_ong,255,331,TRUE,1.298039216,43
34,rebeccasayz,489,789,TRUE,1.613496933,208
35,jacelynye,355,961,TRUE,2.707042254,1188
36,purplexedly,29,162,TRUE,5.586206897,156
37,daisywailing,287,959,TRUE,3.341463415,1651
38,chingyouuu,516,950,FALSE,1.841085271,53
39,inezcaroline,219,378,TRUE,1.726027397,1702
40,shazzaelicious,646,2182,TRUE,3.377708978,1597
41,clumsydummy,624,763,TRUE,1.22275641,893
42,sleepyju,318,1674,TRUE,5.264150943,38
43,kikicaniago12,1407,6602,TRUE,4.692253021,94
44,kueh_ambon,38,73,TRUE,1.921052632,40
45,jasmineanggm,322,266,FALSE,0.826086957,51
46,moonriver.crystals,29,264,FALSE,9.103448276,2
47,vyeo17,98,203,FALSE,2.071428571,31
48,pinkky0101,0,85,TRUE,85,0
49,shoorahh,710,806,TRUE,1.135211268,202
50,museofmagick,1343,845,FALSE,0.629188384,136
51,ispywithmybeadyeyes,228,395,FALSE,1.73245614,46
52,holaivyy,92,71,FALSE,0.77173913,17
53,jxbeanie,258,264,TRUE,1.023255814,8
54,farihahzainal,1456,2796,TRUE,1.92032967,335
55,tayberryjane,275,492,TRUE,1.789090909,74
56,zhn777,59,112,TRUE,1.898305085,377
57,cindinglala,175,1327,TRUE,7.582857143,4793
58,a_kakito,82,242,TRUE,2.951219512,0
59,rachelbartee,68,119,FALSE,1.75,99
60,malar21,905,7098,FALSE,7.843093923,668
61,wanjing23,6145,2596,TRUE,0.422457282,8
62,_masiira.adam,6145,2596,TRUE,0.422457282,8
63,karismasanjaykumar,479,569,TRUE,1.187891441,56
64,aestheticsinsg,142,2674,TRUE,18.83098592,3
65,_immessh,702,1419,TRUE,2.021367521,79
66,hui_bing,441,1268,FALSE,2.875283447,148
67,lowkeylowprofile,0,1245,TRUE,1245,0
68,lynnkoh05,96,199,TRUE,2.072916667,413
69,riz_san_22,295,365,TRUE,1.237288136,225
70,foxxymonstrr,766,2185,TRUE,2.852480418,228
71,mystique79sg,140,294,TRUE,2.1,122
72,barleyyan77,145,477,TRUE,3.289655172,166
73,blushchic,8,1309,TRUE,163.625,2
74,xrische,172,978,TRUE,5.686046512,493
75,thesunnyflower,346,669,TRUE,1.933526012,605
76,peiiiwennn,122,175,TRUE,1.43442623,24
77,ainaasamxd_,1249,598,TRUE,0.478783026,192
78,nyh_charlotte,13,252,TRUE,19.38461538,65
79,pikajumbo,46,84,TRUE,1.826086957,0
80,21eileenchin,383,1096,TRUE,2.861618799,779
81,silkyjan,199,133,FALSE,0.668341709,231
82,semieong,238,697,TRUE,2.928571429,565
83,ilovebrowniethecat,92,1592,TRUE,17.30434783,27
84,_evelynious,381,1024,TRUE,2.687664042,235
85,nuryati78,427,2079,TRUE,4.868852459,623
86,jasline.yet,71,96,TRUE,1.352112676,4
87,iamdclf,19,328,TRUE,17.26315789,51
88,gracelaurel.tang,311,244,FALSE,0.784565916,182
89,shen_ying_ying,1253,674,TRUE,0.537909018,61
90,carol2u,44,150,TRUE,3.409090909,133
91,zoobaacaa,86,246,FALSE,2.860465116,1
92,ein_aloe_vera,99,1607,TRUE,16.23232323,35
93,mpchua,253,1296,TRUE,5.122529644,176
94,jesstham77,47,522,TRUE,11.10638298,414
95,one3one4,195,3302,TRUE,16.93333333,976
96,cheryl_weixuan,1172,1998,FALSE,1.704778157,1356
97,ndayah.92,983,5452,TRUE,5.546286877,230
98,cynx.c,195,703,TRUE,3.605128205,64
99,little3kiwi,120,448,TRUE,3.733333333,30
100,lynn_nanami,77,189,FALSE,2.454545455,2
101,ytmwongg,220,252,TRUE,1.145454545,91
102,iamzaiothman,372,528,TRUE,1.419354839,6593
103,mscheryly,211,487,TRUE,2.308056872,1341
104,joycetang0607,40,149,FALSE,3.725,3
105,lunaaa.1104,220,256,TRUE,1.163636364,0
106,kallistaeleena,515,582,TRUE,1.130097087,478
107,kailian,58,177,TRUE,3.051724138,222
108,magisk101,370,3368,TRUE,9.102702703,96
109,yvonnesoh9,28,30,FALSE,1.071428571,11
110,journeying_with_you,50,998,FALSE,19.96,3
111,asvingill,160,578,TRUE,3.6125,133
112,lavande.dust,79,678,TRUE,8.582278481,2356
113,tumuculus,4,826,TRUE,206.5,636
114,kmicco_class,14,42,FALSE,3,9
115,joannehbu,58,2292,TRUE,39.51724138,4279
116,spookzzz,47,711,TRUE,15.12765957,805
117,qeyy.key,203,1559,TRUE,7.679802956,64
118,mspiggy6777,12,4239,TRUE,353.25,168
119,guanxian_leow,147,677,FALSE,4.605442177,125
120,03rby,30,250,TRUE,8.333333333,110
121,js.lovesmatcha,411,820,FALSE,1.99513382,1834
